passage_id,author,source_group,text
P055,Hamilton,S16,"It may perhaps be urged that the objects enumerated in the preceding number ought to be provided for by the State governments, under the direction of the Union. But this would be, in reality, an inversion of the primary principle of our political association, as it would in practice transfer the care of the common defense from the federal head to the individual members: a project oppressive to some States, dangerous to all, and baneful to the Confederacy. The territories of Britain, Spain, and of the Indian nations in our neighborhood do not border on particular States, but encircle the Union from Maine to Georgia. The danger, though in different degrees, is therefore common. And the means of guarding against it ought, in like manner, to be the objects of common councils and of a common treasury. It happens that some States, from local situation, are more directly exposed. New York is of this class. Upon the plan of separate provisions, New York would have to sustain the whole weight of the establishments requisite to her immediate safety, and to the mediate or ultimate protection of her neighbors."
P058,Hamilton,S03,"If, on the contrary, the insurrection should pervade a whole State, or a principal part of it, the employment of a different kind of force might become unavoidable. It appears that Massachusetts found it necessary to raise troops for repressing the disorders within that State; that Pennsylvania, from the mere apprehension of commotions among a part of her citizens, has thought proper to have recourse to the same measure. Suppose the State of New York had been inclined to re-establish her lost jurisdiction over the inhabitants of Vermont, could she have hoped for success in such an enterprise from the efforts of the militia alone? Would she not have been compelled to raise and to maintain a more regular force for the execution of her design? If it must then be admitted that the necessity of recurring to a force different from the militia, in cases of this extraordinary nature, is applicable to the State governments themselves, why should the possibility, that the national government might be under a like necessity, in similar extremities, be made an objection to its existence?"
P059,Hamilton,S18,"Having in the three last numbers taken a summary review of the principal circumstances and events which have depicted the genius and fate of other confederate governments, I shall now proceed in the enumeration of the most important of those defects which have hitherto disappointed our hopes from the system established among ourselves. To form a safe and satisfactory judgment of the proper remedy, it is absolutely necessary that we should be well acquainted with the extent and malignity of the disease. The next most palpable defect of the subsisting Confederation, is the total want of a sanction to its laws. The United States, as now composed, have no powers to exact obedience, or punish disobedience to their resolutions, either by pecuniary mulcts, by a suspension or divestiture of privileges, or by any other constitutional mode. There is no express delegation of authority to them to use force against delinquent members; and if such a right should be ascribed to the federal head, as resulting from the nature of the social compact between the States, it must be by inference and construction."
P060,Madison,S04,"And if they do not sufficiently enlarge their policy to embrace the collective welfare of their particular State, how can it be imagined that they will make the aggregate prosperity of the Union, and the dignity and respectability of its government, the objects of their affections and consultations? For the same reason that the members of the State legislatures will be unlikely to attach themselves sufficiently to national objects, the members of the federal legislature will be likely to attach themselves too much to local objects. The States will be to the latter what counties and towns are to the former. Measures will too often be decided according to their probable effect, not on the national prosperity and happiness, but on the prejudices, interests, and pursuits of the governments and people of the individual States. What is the spirit that has in general characterized the proceedings of Congress? A perusal of their journals, as well as the candid acknowledgments of such as have had a seat in that assembly, will inform us, that the members have but too frequently displayed the character, rather of partisans of their respective States, than of impartial guardians of a common interest."
P061,Madison,S12,"But who can say what experiments may be produced by the caprice of particular States, by the ambition of enterprising leaders, or by the intrigues and influence of foreign powers? To the second question it may be answered, that if the general government should interpose by virtue of this constitutional authority, it will be, of course, bound to pursue the authority. But the authority extends no further than to a guaranty of a republican form of government, which supposes a pre-existing government of the form which is to be guaranteed. As long, therefore, as the existing republican forms are continued by the States, they are guaranteed by the federal Constitution. Whenever the States may choose to substitute other republican forms, they have a right to do so, and to claim the federal guaranty for the latter. The only restriction imposed on them is, that they shall not exchange republican for antirepublican Constitutions; a restriction which, it is presumed, will hardly be considered as a grievance. A protection against invasion is due from every society to the parts composing it."
P062,Madison,S19,"The palpable necessity of the power to provide and maintain a navy has protected that part of the Constitution against a spirit of censure, which has spared few other parts. It must, indeed, be numbered among the greatest blessings of America, that as her Union will be the only source of her maritime strength, so this will be a principal source of her security against danger from abroad. In this respect our situation bears another likeness to the insular advantage of Great Britain. The batteries most capable of repelling foreign enterprises on our safety, are happily such as can never be turned by a perfidious government against our liberties. The inhabitants of the Atlantic frontier are all of them deeply interested in this provision for naval protection, and if they have hitherto been suffered to sleep quietly in their beds; if their property has remained safe against the predatory spirit of licentious adventurers; if their maritime towns have not yet been compelled to ransom themselves from the terrors of a conflagration, by yielding to the exactions of daring and sudden invaders, these instances of good fortune are not to be ascribed to the capacity of the existing government for the protection of those from whom it claims allegiance."
P063,Hamilton,S16,"There are other lights besides those already taken notice of, in which the impropriety of restraints on the discretion of the national legislature will be equally manifest. The design of the objection, which has been mentioned, is to preclude standing armies in time of peace, though we have never been informed how far it is designed the prohibition should extend; whether to raising armies as well as to keeping them up in a season of tranquillity or not. If it be confined to the latter it will have no precise signification, and it will be ineffectual for the purpose intended. When armies are once raised what shall be denominated keeping them up, contrary to the sense of the Constitution? What time shall be requisite to ascertain the violation? Shall it be a week, a month, a year? Or shall we say they may be continued as long as the danger which occasioned their being raised continues?"
P064,Hamilton,S02,"The legislature of the United States will be obliged, by this provision, once at least in every two years, to deliberate upon the propriety of keeping a military force on foot; to come to a new resolution on the point; and to declare their sense of the matter, by a formal vote in the face of their constituents. They are not at liberty to vest in the executive department permanent funds for the support of an army, if they were even incautious enough to be willing to repose in it so improper a confidence. As the spirit of party, in different degrees, must be expected to infect all political bodies, there will be, no doubt, persons in the national legislature willing enough to arraign the measures and criminate the views of the majority. The provision for the support of a military force will always be a favorable topic for declamation. As often as the question comes forward, the public attention will be roused and attracted to the subject, by the party in opposition; and if the majority should be really disposed to exceed the proper limits, the community will be warned of the danger."
P066,Hamilton,S09,"This will not only lessen the call for military establishments, but if circumstances should at any time oblige the government to form an army of any magnitude that army can never be formidable to the liberties of the people while there is a large body of citizens, little, if at all, inferior to them in discipline and the use of arms, who stand ready to defend their own rights and those of their fellow-citizens. This appears to me the only substitute that can be devised for a standing army, and the best possible security against it, if it should exist. Thus differently from the adversaries of the proposed Constitution should I reason on the same subject, deducing arguments of safety from the very sources which they represent as fraught with danger and perdition. But how the national legislature may reason on the point, is a thing which neither they nor I can foresee. There is something so far-fetched and so extravagant in the idea of danger to liberty from the militia, that one is at a loss whether to treat it with gravity or with raillery."
P068,Madison,S01,"That it will be a federal and not a national act, as these terms are understood by the objectors; the act of the people, as forming so many independent States, not as forming one aggregate nation, is obvious from this single consideration, that it is to result neither from the decision of a majority of the people of the Union, nor from that of a majority of the States. It must result from the unanimous assent of the several States that are parties to it, differing no otherwise from their ordinary assent than in its being expressed, not by the legislative authority, but by that of the people themselves. Were the people regarded in this transaction as forming one nation, the will of the majority of the whole people of the United States would bind the minority, in the same manner as the majority in each State must bind the minority; and the will of the majority must be determined either by a comparison of the individual votes, or by considering the will of the majority of the States as evidence of the will of a majority of the people of the United States."
P069,Madison,S14,"History informs us, likewise, of the difficulties with which these celebrated reformers had to contend, as well as the expedients which they were obliged to employ in order to carry their reforms into effect. Solon, who seems to have indulged a more temporizing policy, confessed that he had not given to his countrymen the government best suited to their happiness, but most tolerable to their prejudices. And Lycurgus, more true to his object, was under the necessity of mixing a portion of violence with the authority of superstition, and of securing his final success by a voluntary renunciation, first of his country, and then of his life. If these lessons teach us, on one hand, to admire the improvement made by America on the ancient mode of preparing and establishing regular plans of government, they serve not less, on the other, to admonish us of the hazards and difficulties incident to such experiments, and of the great imprudence of unnecessarily multiplying them."
P070,Hamilton,S18,"The want of a mutual guaranty of the State governments is another capital imperfection in the federal plan. There is nothing of this kind declared in the articles that compose it; and to imply a tacit guaranty from considerations of utility, would be a still more flagrant departure from the clause which has been mentioned, than to imply a tacit power of coercion from the like considerations. The want of a guaranty, though it might in its consequences endanger the Union, does not so immediately attack its existence as the want of a constitutional sanction to its laws. Without a guaranty the assistance to be derived from the Union in repelling those domestic dangers which may sometimes threaten the existence of the State constitutions, must be renounced. Usurpation may rear its crest in each State, and trample upon the liberties of the people, while the national government could legally do nothing more than behold its encroachments with indignation and regret."
P071,Madison,S07,"Within every district to which a federal collector would be allotted, there would not be less than thirty or forty, or even more, officers of different descriptions, and many of them persons of character and weight, whose influence would lie on the side of the State. The powers delegated by the proposed Constitution to the federal government are few and defined. Those which are to remain in the State governments are numerous and indefinite. The former will be exercised principally on external objects, as war, peace, negotiation, and foreign commerce; with which last the power of taxation will, for the most part, be connected. The powers reserved to the several States will extend to all the objects which, in the ordinary course of affairs, concern the lives, liberties, and properties of the people, and the internal order, improvement, and prosperity of the State. The operations of the federal government will be most extensive and important in times of war and danger; those of the State governments, in times of peace and security."
P072,Hamilton,S16,"If, to obviate this consequence, it should be resolved to extend the prohibition to the raising of armies in time of peace, the United States would then exhibit the most extraordinary spectacle which the world has yet seen, that of a nation incapacitated by its Constitution to prepare for defense, before it was actually invaded. As the ceremony of a formal denunciation of war has of late fallen into disuse, the presence of an enemy within our territories must be waited for, as the legal warrant to the government to begin its levies of men for the protection of the State. We must receive the blow, before we could even prepare to return it. All that kind of policy by which nations anticipate distant danger, and meet the gathering storm, must be abstained from, as contrary to the genuine maxims of a free government. We must expose our property and liberty to the mercy of foreign invaders, and invite them by our weakness to seize the naked and defenseless prey, because we are afraid that rulers, created by our choice, dependent on our will, might endanger that liberty, by an abuse of the means necessary to its preservation."
P073,Madison,S12,"May it not happen, in fine, that the minority of citizens may become a majority of persons, by the accession of alien residents, of a casual concourse of adventurers, or of those whom the constitution of the State has not admitted to the rights of suffrage? I take no notice of an unhappy species of population abounding in some of the States, who, during the calm of regular government, are sunk below the level of men; but who, in the tempestuous scenes of civil violence, may emerge into the human character, and give a superiority of strength to any party with which they may associate themselves. In cases where it may be doubtful on which side justice lies, what better umpires could be desired by two violent factions, flying to arms, and tearing a State to pieces, than the representatives of confederate States, not heated by the local flame? To the impartiality of judges, they would unite the affection of friends."
P074,Madison,S12,"The fourth class comprises the following miscellaneous powers: A power to promote the progress of science and useful arts, by securing, for a limited time, to authors and inventors, the exclusive right to their respective writings and discoveries. The utility of this power will scarcely be questioned. The copyright of authors has been solemnly adjudged, in Great Britain, to be a right of common law. The right to useful inventions seems with equal reason to belong to the inventors. The public good fully coincides in both cases with the claims of individuals. The States cannot separately make effectual provisions for either of the cases, and most of them have anticipated the decision of this point, by laws passed at the instance of Congress. Another power is to exercise exclusive legislation, in all cases whatsoever, over such district, not exceeding ten miles square, as may, by cession of particular States and the acceptance of Congress, become the seat of the government of the United States; and to exercise like authority over all places purchased by the consent of the legislatures of the States in which the same shall be, for the erection of forts, magazines, arsenals, dockyards, and other needful buildings."
P075,Hamilton,S09,"By a curious refinement upon the spirit of republican jealousy, we are even taught to apprehend danger from the militia itself, in the hands of the federal government. It is observed that select corps may be formed, composed of the young and ardent, who may be rendered subservient to the views of arbitrary power. What plan for the regulation of the militia may be pursued by the national government, is impossible to be foreseen. But so far from viewing the matter in the same light with those who object to select corps as dangerous, were the Constitution ratified, and were I to deliver my sentiments to a member of the federal legislature from this State on the subject of a militia establishment, I should hold to him, in substance, the following discourse: The project of disciplining all the militia of the United States is as futile as it would be injurious, if it were capable of being carried into execution. A tolerable expertness in military movements is a business that requires time and practice."
P076,Madison,S04,"But ambitious encroachments of the federal government, on the authority of the State governments, would not excite the opposition of a single State, or of a few States only. They would be signals of general alarm. Every government would espouse the common cause. A correspondence would be opened. Plans of resistance would be concerted. One spirit would animate and conduct the whole. The same combinations, in short, would result from an apprehension of the federal, as was produced by the dread of a foreign, yoke; and unless the projected innovations should be voluntarily renounced, the same appeal to a trial of force would be made in the one case as was made in the other. But what degree of madness could ever drive the federal government to such an extremity. In the contest with Great Britain, one part of the empire was employed against the other. The more numerous part invaded the rights of the less numerous part. The attempt was unjust and unwise; but it was not in speculation absolutely chimerical."
P077,Madison,S01,"If we resort for a criterion to the different principles on which different forms of government are established, we may define a republic to be, or at least may bestow that name on, a government which derives all its powers directly or indirectly from the great body of the people, and is administered by persons holding their offices during pleasure, for a limited period, or during good behavior. It is essential to such a government that it be derived from the great body of the society, not from an inconsiderable proportion, or a favored class of it; otherwise a handful of tyrannical nobles, exercising their oppressions by a delegation of their powers, might aspire to the rank of republicans, and claim for their government the honorable title of republic. It is sufficient for such a government that the persons administering it be appointed, either directly or indirectly, by the people; and that they hold their appointments by either of the tenures just specified; otherwise every government in the United States, as well as every other popular government that has been or can be well organized or well executed, would be degraded from the republican character."
P078,Madison,S08,"In addition to these persuasive considerations, it may be observed, that the same reasons which show the necessity of denying to the States the power of regulating coin, prove with equal force that they ought not to be at liberty to substitute a paper medium in the place of coin. Had every State a right to regulate the value of its coin, there might be as many different currencies as States, and thus the intercourse among them would be impeded; retrospective alterations in its value might be made, and thus the citizens of other States be injured, and animosities be kindled among the States themselves. The subjects of foreign powers might suffer from the same cause, and hence the Union be discredited and embroiled by the indiscretion of a single member. No one of these mischiefs is less incident to a power in the States to emit paper money, than to coin gold or silver. The power to make any thing but gold and silver a tender in payment of debts, is withdrawn from the States, on the same principle with that of issuing a paper currency."
P079,Hamilton,S09,"In reading many of the publications against the Constitution, a man is apt to imagine that he is perusing some ill-written tale or romance, which instead of natural and agreeable images, exhibits to the mind nothing but frightful and distorted shapes; discoloring and disfiguring whatever it represents, and transforming everything it touches into a monster. A sample of this is to be observed in the exaggerated and improbable suggestions which have taken place respecting the power of calling for the services of the militia. That of New Hampshire is to be marched to Georgia, of Georgia to New Hampshire, of New York to Kentucky, and of Kentucky to Lake Champlain. At one moment there is to be a large army to lay prostrate the liberties of the people; at another moment the militia of Virginia are to be dragged from their homes five or six hundred miles, to tame the republican contumacy of Massachusetts; and that of Massachusetts is to be transported an equal distance to subdue the refractory haughtiness of the aristocratic Virginians."
P080,Hamilton,S03,"Independent of all other reasonings upon the subject, it is a full answer to those who require a more peremptory provision against military establishments in time of peace, to say that the whole power of the proposed government is to be in the hands of the representatives of the people. This is the essential, and, after all, only efficacious security for the rights and privileges of the people, which is attainable in civil society. If the representatives of the people betray their constituents, there is then no resource left but in the exertion of that original right of self-defense which is paramount to all positive forms of government, and which against the usurpations of the national rulers, may be exerted with infinitely better prospect of success than against those of the rulers of an individual state. In a single state, if the persons intrusted with supreme power become usurpers, the different parcels, subdivisions, or districts of which it consists, having no distinct government in each, can take no regular measures for defense."
P082,Madison,S19,"I will address one additional reflection only to those who contend that the power ought to have been restrained to external taxation by which they mean, taxes on articles imported from other countries. It cannot be doubted that this will always be a valuable source of revenue; that for a considerable time it must be a principal source; that at this moment it is an essential one. But we may form very mistaken ideas on this subject, if we do not call to mind in our calculations, that the extent of revenue drawn from foreign commerce must vary with the variations, both in the extent and the kind of imports; and that these variations do not correspond with the progress of population, which must be the general measure of the public wants. As long as agriculture continues the sole field of labor, the importation of manufactures must increase as the consumers multiply. As soon as domestic manufactures are begun by the hands not called for by agriculture, the imported manufactures will decrease as the numbers of people increase."
P084,Madison,S08,"Had the Constitution been silent on this head, there can be no doubt that all the particular powers requisite as means of executing the general powers would have resulted to the government, by unavoidable implication. No axiom is more clearly established in law, or in reason, than that wherever the end is required, the means are authorized; wherever a general power to do a thing is given, every particular power necessary for doing it is included. Had this last method, therefore, been pursued by the convention, every objection now urged against their plan would remain in all its plausibility; and the real inconveniency would be incurred of not removing a pretext which may be seized on critical occasions for drawing into question the essential powers of the Union. If it be asked what is to be the consequence, in case the Congress shall misconstrue this part of the Constitution, and exercise powers not warranted by its true meaning, I answer, the same as if they should misconstrue or enlarge any other power vested in them; as if the general power had been reduced to particulars, and any one of these were to be violated."
P085,Madison,S13,"But were an exposition of the term inhabitants to be admitted which would confine the stipulated privileges to citizens alone, the difficulty is diminished only, not removed. The very improper power would still be retained by each State, of naturalizing aliens in every other State. In one State, residence for a short term confirms all the rights of citizenship: in another, qualifications of greater importance are required. An alien, therefore, legally incapacitated for certain rights in the latter, may, by previous residence only in the former, elude his incapacity; and thus the law of one State be preposterously rendered paramount to the law of another, within the jurisdiction of the other. We owe it to mere casualty, that very serious embarrassments on this subject have been hitherto escaped. By the laws of several States, certain descriptions of aliens, who had rendered themselves obnoxious, were laid under interdicts inconsistent not only with the rights of citizenship but with the privilege of residence."
P086,Hamilton,S02,"It may not be amiss in this place concisely to remark the origin and progress of the idea, which aims at the exclusion of military establishments in time of peace. Though in speculative minds it may arise from a contemplation of the nature and tendency of such institutions, fortified by the events that have happened in other ages and countries, yet as a national sentiment, it must be traced to those habits of thinking which we derive from the nation from whom the inhabitants of these States have in general sprung. In England, for a long time after the Norman Conquest, the authority of the monarch was almost unlimited. Inroads were gradually made upon the prerogative, in favor of liberty, first by the barons, and afterwards by the people, till the greatest part of its most formidable pretensions became extinct. But it was not till the revolution in 1688, which elevated the Prince of Orange to the throne of Great Britain, that English liberty was completely triumphant."
P087,Madison,S14,"A third does not object to the government over individuals, or to the extent proposed, but to the want of a bill of rights. A fourth concurs in the absolute necessity of a bill of rights, but contends that it ought to be declaratory, not of the personal rights of individuals, but of the rights reserved to the States in their political capacity. A fifth is of opinion that a bill of rights of any sort would be superfluous and misplaced, and that the plan would be unexceptionable but for the fatal power of regulating the times and places of election. An objector in a large State exclaims loudly against the unreasonable equality of representation in the Senate. An objector in a small State is equally loud against the dangerous inequality in the House of Representatives. From this quarter, we are alarmed with the amazing expense, from the number of persons who are to administer the new government."
P088,Hamilton,S02,"From the same source, the people of America may be said to have derived an hereditary impression of danger to liberty, from standing armies in time of peace. The circumstances of a revolution quickened the public sensibility on every point connected with the security of popular rights, and in some instances raised the warmth of our zeal beyond the degree which consisted with the due temperature of the body politic. The attempts of two of the States to restrict the authority of the legislature in the article of military establishments, are of the number of these instances. The principles which had taught us to be jealous of the power of an hereditary monarch were by an injudicious excess extended to the representatives of the people in their popular assemblies. Even in some of the States, where this error was not adopted, we find unnecessary declarations that standing armies ought not to be kept up, in time of peace, without the consent of the legislature."
P090,Hamilton,S20,"The more intelligent adversaries of the new Constitution admit the force of this reasoning; but they qualify their admission by a distinction between what they call internal and external taxation. The former they would reserve to the State governments; the latter, which they explain into commercial imposts, or rather duties on imported articles, they declare themselves willing to concede to the federal head. This distinction, however, would violate the maxim of good sense and sound policy, which dictates that every power ought to be in proportion to its object; and would still leave the general government in a kind of tutelage to the State governments, inconsistent with every idea of vigor or efficiency. Who can pretend that commercial imposts are, or would be, alone equal to the present and future exigencies of the Union? Taking into the account the existing debt, foreign and domestic, upon any plan of extinguishment which a man moderately impressed with the importance of public justice and public credit could approve, in addition to the establishments which all parties will acknowledge to be necessary, we could not reasonably flatter ourselves, that this resource alone would even suffice for its present necessities."
P091,Hamilton,S03,"The great extent of the country is a further security. We have already experienced its utility against the attacks of a foreign power. And it would have precisely the same effect against the enterprises of ambitious rulers in the national councils. If the federal army should be able to quell the resistance of one State, the distant States would have it in their power to make head with fresh forces. The advantages obtained in one place must be abandoned to subdue the opposition in others; and the moment the part which had been reduced to submission was left to itself, its efforts would be renewed, and its resistance revive. We should recollect that the extent of the military force must, at all events, be regulated by the resources of the country. For a long time to come, it will not be possible to maintain a large army; and as the means of doing this increase, the population and natural strength of the community will proportionably increase."
P092,Madison,S08,"A fifth class of provisions in favor of the federal authority consists of the following restrictions on the authority of the several States: No State shall enter into any treaty, alliance, or confederation; grant letters of marque and reprisal; coin money; emit bills of credit; make any thing but gold and silver a legal tender in payment of debts; pass any bill of attainder, ex-post-facto law, or law impairing the obligation of contracts; or grant any title of nobility. The prohibition against treaties, alliances, and confederations makes a part of the existing articles of Union; and for reasons which need no explanation, is copied into the new Constitution. The prohibition of letters of marque is another part of the old system, but is somewhat extended in the new. According to the former, letters of marque could be granted by the States after a declaration of war; according to the latter, these licenses must be obtained, as well during war as previous to its declaration, from the government of the United States."
P093,Hamilton,S11,"The necessity of a Constitution, at least equally energetic with the one proposed, to the preservation of the Union, is the point at the examination of which we are now arrived. This inquiry will naturally divide itself into three branches the objects to be provided for by the federal government, the quantity of power necessary to the accomplishment of those objects, the persons upon whom that power ought to operate. Its distribution and organization will more properly claim our attention under the succeeding head. The principal purposes to be answered by union are these the common defense of the members; the preservation of the public peace as well against internal convulsions as external attacks; the regulation of commerce with other nations and between the States; the superintendence of our intercourse, political and commercial, with foreign countries. The authorities essential to the common defense are these: to raise armies; to build and equip fleets; to prescribe rules for the government of both; to direct their operations; to provide for their support."
P094,Madison,S07,"The State government will have the advantage of the Federal government, whether we compare them in respect to the immediate dependence of the one on the other; to the weight of personal influence which each side will possess; to the powers respectively vested in them; to the predilection and probable support of the people; to the disposition and faculty of resisting and frustrating the measures of each other. The State governments may be regarded as constituent and essential parts of the federal government; whilst the latter is nowise essential to the operation or organization of the former. Without the intervention of the State legislatures, the President of the United States cannot be elected at all. They must in all cases have a great share in his appointment, and will, perhaps, in most cases, of themselves determine it. The Senate will be elected absolutely and exclusively by the State legislatures. Even the House of Representatives, though drawn immediately from the people, will be chosen very much under the influence of that class of men, whose influence over the people obtains for themselves an election into the State legislatures."
P095,Hamilton,S17,"The hope of impunity is a strong incitement to sedition; the dread of punishment, a proportionably strong discouragement to it. Will not the government of the Union, which, if possessed of a due degree of power, can call to its aid the collective resources of the whole Confederacy, be more likely to repress the former sentiment and to inspire the latter, than that of a single State, which can only command the resources within itself? A turbulent faction in a State may easily suppose itself able to contend with the friends to the government in that State; but it can hardly be so infatuated as to imagine itself a match for the combined efforts of the Union. If this reflection be just, there is less danger of resistance from irregular combinations of individuals to the authority of the Confederacy than to that of a single member. I will, in this place, hazard an observation, which will not be the less just because to some it may appear new; which is, that the more the operations of the national authority are intermingled in the ordinary exercise of government, the more the citizens are accustomed to meet with it in the common occurrences of their political life, the greater will be the probability that it will conciliate the respect and attachment of the community."
P096,Madison,S07,"Having shown that no one of the powers transferred to the federal government is unnecessary or improper, the next question to be considered is, whether the whole mass of them will be dangerous to the portion of authority left in the several States. The adversaries to the plan of the convention, instead of considering in the first place what degree of power was absolutely necessary for the purposes of the federal government, have exhausted themselves in a secondary inquiry into the possible consequences of the proposed degree of power to the governments of the particular States. But if the Union, as has been shown, be essential to the security of the people of America against foreign danger; if it be essential to their security against contentions and wars among the different States; if it be essential to guard them against those violent and oppressive factions which embitter the blessings of liberty, and against those military establishments which must gradually poison its very fountain; if, in a word, the Union be essential to the happiness of the people of America, is it not preposterous, to urge as an objection to a government, without which the objects of the Union cannot be attained, that such a government may derogate from the importance of the governments of the individual States?"
P099,Madison,S01,"The Senate is elective, for the period of six years; which is but one year more than the period of the Senate of Maryland, and but two more than that of the Senates of New York and Virginia. The President is to continue in office for the period of four years; as in New York and Delaware, the chief magistrate is elected for three years, and in South Carolina for two years. In the other States the election is annual. In several of the States, however, no constitutional provision is made for the impeachment of the chief magistrate. And in Delaware and Virginia he is not impeachable till out of office. The President of the United States is impeachable at any time during his continuance in office. The tenure by which the judges are to hold their places, is, as it unquestionably ought to be, that of good behavior. The tenure of the ministerial offices generally, will be a subject of legal regulation, conformably to the reason of the case and the example of the State constitutions."
